Batch ID,Brand,Calculated Weight (Grams),Category,Cost per Gram,Cost per Item,Created On,Current Date,Current Quantity,Days Until Expires,Expiration Date,Initial Quantity,Last Audit Date,Location,Package ID,Price,Price Profile,Product Name,Product Type,Room,SKU,Source License,Strain Name,Supplier Name,Total Cost,Total Price,Unit of Measure,Weight Unit,insert_datetime,img_url,product_description
None,Warren\s Cannabis Creations,None,Edible,None,2.0,07/16/2021,10/27/2021,0.0,262.0,07/16/2022,50,10/20/2021,Maple Valley Pharms,None,5.0,None,50mg Blueberry Lollipop,50mg Lollipop,Sales Floor,NhGM3Hxaih,None,None,Edible Vendor,0.0,0.0,None,None,None,None,None
None,Warren\s Cannabis Creations,0.0,Concentrate,None,22.0,10/08/2021,10/27/2021,0.0,346.0,10/08/2022,10,10/20/2021,Maple Valley Pharms,None,50.0,None,Watermelon Cartridge 1g,Cartridge,Sales Floor,ifm8sR2C3w,None,Watermelon,Warren\s Cannabis Creations,0.0,0.0,Each,None,None,None,None
None,Glass Jar Company,0.0,Flower - Prepackaged,None,26.18,10/08/2021,10/27/2021,0.0,None,None,12,10/20/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Sativa Dominant,Sales Floor,zsDLjQ5pbz,None,Pineapple Mimosa,Glass Jar Company LLC,0.0,None,Grams,Quarters,None,None,None
None,Iron Lung,0.0,Concentrate,None,12.5,09/21/2021,10/27/2021,0.0,323.0,09/15/2022,25,10/20/2021,Maple Valley Pharms,None,25.0,None,Lemon G x Orange Mints 1g Shatter,Shatter,Sales Floor,HxNag6BeCL,None,None,Iron Lung,0.0,0.0,Each,None,None,None,None
None,Kine Folks,0.0,Flower - Prepackaged,None,27.65,10/11/2021,10/27/2021,0.0,None,None,6,10/20/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Indica Dominant,Sales Floor,ZqAaMouGyL,None,Peyote Critical,Kine Folks,0.0,None,Grams,Quarters,None,None,None
None,Maple Valley Pharms,None,Edible,None,4.0,10/19/2021,10/27/2021,0.0,2.0,10/29/2021,12,10/20/2021,Maple Valley Pharms,None,15.0,None,150mg Chocolate Chip Cookies,150mg Cookie,Sales Floor,dQN9MyW8SJ,None,None,Edible Vendor,0.0,0.0,None,None,None,None,None
None,Lodestar Cannabis,0.0,Flower - Prepackaged,None,20.3,10/04/2021,10/27/2021,0.0,None,None,32,10/20/2021,Maple Valley Pharms,None,None,Limited,None,Hybrid,Sales Floor,yFLEPwGtd2,None,Gorilla Glue #5,Lodestar Cannabis,0.0,None,Grams,Eighths,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,10/11/2021,10/27/2021,0.0,175.0,04/20/2022,24,10/11/2021,Maple Valley Pharms,None,15.0,None,100mg Snozzberry Gummies,Gummies,Sales Floor,xHuYJKg3WP,None,None,Edible Vendor,0.0,0.0,None,None,None,None,None
None,Snowblind Cannabis,0.0,Concentrate,None,12.5,10/22/2021,10/27/2021,0.0,336.0,09/28/2022,12,10/22/2021,Maple Valley Pharms,None,35.0,None,Blissful Wizard 1g Live Badder,Badder,Sales Floor,C6MkPc4YnG,None,None,Snowblind Cannabis,0.0,0.0,Each,None,None,None,None
None,Warren\s Cannabis Creations,0.0,Concentrate,None,22.0,10/22/2021,10/27/2021,0.0,360.0,10/22/2022,10,10/22/2021,Maple Valley Pharms,None,50.0,None,Watermelon Cartridge 1g,Cartridge,Sales Floor,vRSm57ZWhd,None,Watermelon,Warren\s Cannabis Creations,0.0,0.0,Each,None,None,None,None
None,Bloom,None,Accessory,None,25.0,04/26/2021,10/27/2021,1.0,None,None,25,05/09/2021,Maple Valley Pharms,None,50.0,None,500mg Freeze Roller 90mL,500mg CBD Topical,Display,vNXbsrJPZ8,None,None,Bloom,25.0,50.0,None,None,None,None,None
None,LifePatent,None,Accessory,None,10.0,07/09/2020,10/27/2021,1.0,None,None,40,05/09/2021,Maple Valley Pharms,None,29.99,None,200mg Targeted Support LPRelief Roller,200mg CBD Topical,Display,\66258084,None,None,LifePatent,10.0,29.99,None,None,None,None,None
None,Northwoods Wellness,None,Accessory,None,1.0,04/27/2021,10/27/2021,1.0,None,None,29,05/21/2021,Maple Valley Pharms,None,35.0,None,NWW Snapback,Hat,Display,9x4x6N5CHS,None,None,Northwoods Wellness,1.0,35.0,None,None,None,None,None
None,Best Friend Farms,None,Accessory,None,12.0,04/15/2021,10/27/2021,1.0,None,None,15,05/21/2021,Maple Valley Pharms,None,20.0,None,Orange BFF Beanie,Beanie,Display,uEdFbRWfnm,None,None,Best Friend Farms,12.0,20.0,None,None,None,None,None
None,Dr. Dabber,None,Accessory,None,199.99,02/15/2021,10/27/2021,1.0,None,None,9,03/29/2021,Maple Valley Pharms,None,329.99,None,Boost Evo Black Pearl,Vaporizer,Display,qAgj3yc7YH,None,None,Dr. Dabber,199.99,329.99,None,None,None,None,None
None,Elements,None,Accessory,None,0.95,04/16/2021,10/27/2021,1.0,None,None,150,06/13/2021,Maple Valley Pharms,None,2.75,None,1 1/4" Rice Rolling Papers,Paraphernalia,Display,KuRcTJpqKn,None,None,Marijuana Packaging,0.95,2.75,None,None,None,None,None
None,Zig Zag,None,Accessory,None,0.89,04/16/2021,10/27/2021,1.0,None,None,150,06/13/2021,Maple Valley Pharms,None,2.75,None,1 1/4" Unbleached Rolling Papers,Paraphernalia,Display,ne9C6HQJqd,None,None,Marijuana Packaging,0.89,2.75,None,None,None,None,None
None,OCB,None,Accessory,None,2.43,04/16/2021,10/27/2021,1.0,None,None,60,06/13/2021,Maple Valley Pharms,None,4.75,None,1 1/4" Roll Kit,Paraphernalia,Display,YcF8SKGZwF,None,None,Marijuana Packaging,2.43,4.75,None,None,None,None,None
None,Third Eye,14.0,Flower - Prepackaged,None,68.0,04/28/2021,10/27/2021,1.0,None,None,1,05/21/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Hybrid,Display,fAxyoj49Yc,None,Humboldt Lemon,Third Eye,68.0,None,Grams,Half-ounces,None,None,None
None,Maple Valley Pharms,14.0,Flower - Prepackaged,None,60.0,04/28/2021,10/27/2021,1.0,None,None,1,03/18/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Hybrid,Display,YG6vxHkxKK,None,Black Banana Cookies,Derek MacIntosh,60.0,None,Grams,Half-ounces,None,None,None
None,Kine Folks,14.0,Flower - Prepackaged,None,60.0,04/28/2021,10/27/2021,1.0,None,None,1,05/21/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Sativa Dominant,Display,Qjtgw4v7Hu,None,Silver Kush,Kine Folks,60.0,None,Grams,Half-ounces,None,None,None
None,Lodestar Cannabis,None,NonEdible,None,25.0,03/19/2021,10/27/2021,1.0,134.0,03/10/2022,7,05/21/2021,Maple Valley Pharms,None,50.0,None,1000mg Eucalyptus Mint Medicated Salve,Topical,Display,iodmxWkaNj,None,None,Lodestar Cannabis,25.0,50.0,None,None,None,None,None
None,Lodestar Cannabis,None,NonEdible,None,25.0,03/22/2021,10/27/2021,1.0,143.0,03/19/2022,5,05/21/2021,Maple Valley Pharms,None,50.0,None,1000mg Holiday Spice Medicated Salve,Topical,Display,9xLdFJsHdf,None,None,Lodestar Cannabis,25.0,50.0,None,None,None,None,None
None,Warren\s Cannabis Creations,0.0,Concentrate,None,22.75,04/09/2021,10/27/2021,1.0,164.0,04/09/2022,10,None,Maple Valley Pharms,None,50.0,None,Durban Poison Cartridge 1g,Cartridge,Display,gXTC4gFsY7,None,None,Warren\s Cannabis Creations,22.75,50.0,Each,None,None,None,None
None,Zero Gravity,14.0,Flower - Prepackaged,None,65.0,05/10/2021,10/27/2021,1.0,None,None,1,05/21/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Hybrid,Display,3e955cpSeF,None,Guava Tangie,Zero Gravity Extracts,65.0,None,Grams,Half-ounces,None,None,None
None,Lodestar Cannabis,3.5,Flower - Prepackaged,None,20.3,04/28/2021,10/27/2021,1.0,None,None,384,None,Maple Valley Pharms,None,None,Limited,None,Hybrid,Display,h9wb48Eyzv,None,Banana Cream,Lodestar Cannabis,20.3,None,None,Eighths,None,None,None
None,Humble Family Farms,7.0,Flower - Prepackaged,None,38.0,05/10/2021,10/27/2021,1.0,None,None,1,None,Maple Valley Pharms,None,None,Limited,None,Indica Dominant,Display,W8N6Z9iLKz,None,Ice Cream Cake,Humble Family Farms,38.0,None,Grams,Quarters,None,None,None
None,Lodestar Cannabis,3.5,Flower - Prepackaged,None,20.0,05/10/2021,10/27/2021,1.0,None,None,1,None,Maple Valley Pharms,None,None,Limited,None,Sativa Dominant,Display,YJBF6v5Lnd,None,White Durban,Lodestar Cannabis,20.0,None,None,Eighths,None,None,None
None,Northwoods Wellness,7.0,Flower - Prepackaged,None,38.0,05/10/2021,10/27/2021,1.0,None,None,1,None,Maple Valley Pharms,None,None,Limited,None,Hybrid,Display,nfvhf6rGKY,None,Krypto Chronic,Northwoods Wellness,38.0,None,Grams,Quarters,None,None,None
None,Northwoods Wellness,14.0,Flower - Prepackaged,None,68.0,05/12/2021,10/27/2021,1.0,None,None,1,05/21/2021,Maple Valley Pharms,None,None,Limited,None,indica,Display,dinZdpWnH9,None,Sour Garlic Cookies,Northwoods Wellness,68.0,None,Grams,Half-ounces,None,None,None
None,Lodestar Cannabis,None,NonEdible,None,25.0,05/13/2021,10/27/2021,1.0,65.0,12/31/2021,8,05/21/2021,Maple Valley Pharms,None,50.0,None,1000mg Eucalyptus Mint Medicated Salve,Topical,Display,HBgeJj3SAQ,None,None,Lodestar Cannabis,25.0,50.0,None,None,None,None,None
None,Refine,0.5,Concentrate,None,15.0,06/14/2021,10/27/2021,1.0,230.0,06/14/2022,24,06/18/2021,Maple Valley Pharms,None,30.0,None,Prenup Loud Cartridge .5g,.5g Cartridge,Display,mYbMfKtXa5,None,None,Refine,15.0,30.0,Each,None,None,None,None
None,Northeast Concentrates,1.0,Concentrate,None,15.0,05/11/2021,10/27/2021,1.0,196.0,05/11/2022,30,06/18/2021,Maple Valley Pharms,None,32.5,None,Sour Banana 1g Live Resin,Live Resin,Display,5S73oZPFye,None,None,Refine,15.0,32.5,Each,None,None,None,None
None,Zero Gravity Extracts,None,Edible,None,12.0,05/19/2021,10/27/2021,1.0,204.0,05/19/2022,12,06/17/2021,Maple Valley Pharms,None,25.0,None,300mg Mint Bobblehead Bar,300mg Chocolate Bar,Display,LM3jcBC7db,None,None,Edible Vendor,12.0,25.0,None,None,None,None,None
None,Buzzies Best,None,NonEdible,None,35.0,06/16/2021,10/27/2021,1.0,232.0,06/16/2022,20,06/17/2021,Maple Valley Pharms,None,60.0,None,Buzz Pack .5g Cone 9ct,Pre-Roll Pack,Display,v9qw3swE6B,None,None,Buzzies Best,35.0,60.0,None,None,None,None,None
None,Best Friend Farms,1.0,Concentrate,None,14.28,06/02/2021,10/27/2021,1.0,218.0,06/02/2022,14,06/15/2021,Maple Valley Pharms,None,30.0,None,Haskap 1g Bubble Hash Ball,Hash,Display,YGwYzWrns8,None,None,Best Friend Farms,14.28,30.0,Each,None,None,None,None
None,Best Friend Farms,1.0,Concentrate,None,15.0,06/02/2021,10/27/2021,1.0,218.0,06/02/2022,14,06/15/2021,Maple Valley Pharms,None,30.0,None,Gas Masque 1g Bubble Hash Ball,Hash,Display,aChXGf3hTW,None,None,Best Friend Farms,15.0,30.0,Each,None,None,None,None
None,Humble Family Farms,7.0,Flower - Prepackaged,None,38.0,07/14/2021,10/27/2021,1.0,None,None,1,07/14/2021,Maple Valley Pharms,None,None,Limited,None,Hybrid,Display,ZaxmzTadG4,None,Sunny D,Humble Family Farms,38.0,None,Grams,Quarters,None,None,None
None,Maple Valley Pharms,7.0,Flower - Prepackaged,None,35.0,07/14/2021,10/27/2021,1.0,None,None,1,07/15/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Indica Dominant,Display,arJiZaE5qi,None,Humble Pie Wizard,Derek MacIntosh,35.0,None,Grams,Quarters,None,None,None
None,Best Friend Farms,7.0,Flower - Prepackaged,None,35.0,07/15/2021,10/27/2021,1.0,None,None,1,None,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Sativa Dominant,Display,vqienYMb8f,None,Snow Drift,Best Friend Farms,35.0,None,Grams,Quarters,None,None,None
None,Northwoods Wellness,7.0,Flower - Prepackaged,None,38.0,07/13/2021,10/27/2021,1.0,None,None,10,07/14/2021,Maple Valley Pharms,None,None,Limited,None,Hybrid,Display,tyYzSgCnNn,None,Sour Animal,Northwoods Wellness,38.0,None,Grams,Quarters,None,None,None
None,Kine Folks,7.0,Flower - Prepackaged,None,34.0,07/29/2021,10/27/2021,1.0,None,None,1,07/29/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Hybrid,Display,fso4HbfmiC,None,Cherry Pie,Kine Folks,34.0,None,Grams,Quarters,None,None,None
None,Northwoods Wellness,7.0,Flower - Prepackaged,None,35.0,08/17/2021,10/27/2021,1.0,None,None,1,08/17/2021,Maple Valley Pharms,None,None,Limited,None,Indica Dominant,Display,2euSXiMBtD,None,GMO,Northwoods Wellness,35.0,None,Grams,Quarters,None,None,None
None,Northwoods Wellness,7.0,Flower - Prepackaged,None,35.0,08/17/2021,10/27/2021,1.0,None,None,1,08/17/2021,Maple Valley Pharms,None,None,Limited,None,Hybrid,Display,YH9A8zfTvR,None,Jealousy,Northwoods Wellness,35.0,None,Grams,Quarters,None,None,None
None,Humble Family Farms,3.5,Flower - Prepackaged,None,20.0,08/04/2021,10/27/2021,1.0,None,None,40,09/08/2021,Maple Valley Pharms,None,None,Limited,None,Hybrid,Display,ZFtLaMQbho,None,Dirty Nana,Humble Family Farms,20.0,None,Grams,Eighths,None,None,None
None,Glass Jar Company,7.0,Flower - Prepackaged,None,27.37,09/27/2021,10/27/2021,1.0,None,None,1,10/21/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Hybrid,Display,hz8jYZD2RN,None,OG Kush,Glass Jar Company LLC,27.37,None,Grams,Quarters,None,None,None
None,Glass Jar Company,7.0,Flower - Prepackaged,None,27.37,09/27/2021,10/27/2021,1.0,None,None,1,10/21/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Hybrid,Display,j5JtyMsaGc,None,Chem Diesel,Glass Jar Company LLC,27.37,None,Grams,Quarters,None,None,None
None,Glass Jar Company,7.0,Flower - Prepackaged,None,27.37,09/27/2021,10/27/2021,1.0,None,None,1,None,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Sativa,Display,hwLwsi8PXz,None,Moonshine,Glass Jar Company LLC,27.37,None,Grams,Quarters,None,None,None
None,Glass Jar Company,7.0,Flower - Prepackaged,None,27.37,09/27/2021,10/27/2021,1.0,None,None,1,10/21/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Hybrid,Display,irpwkDqiSQ,None,Pink Kush,Glass Jar Company LLC,27.37,None,Grams,Quarters,None,None,None
None,Glass Jar Company,7.0,Flower - Prepackaged,None,27.37,09/27/2021,10/27/2021,1.0,None,None,1,10/21/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Indica Dominant,Display,jChHYaxytP,None,Gorilla Zkittlez,Glass Jar Company LLC,27.37,None,Grams,Quarters,None,None,None
None,Kind Farms,None,Edible,None,12.0,09/24/2021,10/27/2021,1.0,329.0,09/21/2022,24,09/29/2021,Maple Valley Pharms,None,25.0,None,300mg KF Dark Toffee Chocolate Bar,300mg Chocolate Bar,Display,5MEp3JN7Gh,None,None,Edible Vendor,12.0,25.0,None,None,None,None,None
None,Kind Farms,None,Edible,None,12.0,09/24/2021,10/27/2021,1.0,329.0,09/21/2022,24,09/29/2021,Maple Valley Pharms,None,25.0,None,300mg KF Cookies & Cream Chocolate Bar,300mg Chocolate Bar,Display,GXvzxE4Bbe,None,None,Edible Vendor,12.0,25.0,None,None,None,None,None
None,Lodestar Cannabis,None,NonEdible,None,25.0,05/13/2021,10/27/2021,1.0,65.0,12/31/2021,27,09/30/2021,Maple Valley Pharms,None,50.0,None,1000mg Egyptian Musk & Rose Medicated Salve,Topical,Display,xJmxfLDAsJ,None,None,Lodestar Cannabis,25.0,50.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,03/01/2021,10/27/2021,1.0,-37.0,09/20/2021,113,09/29/2021,Maple Valley Pharms,None,12.0,None,100mg CBD Combo Pack Gummies,CBD Gummies,Display,xYyZZhFmum,None,None,Edible Vendor,3.75,12.0,None,None,None,None,None
None,Greenfellas,7.0,Flower - Prepackaged,None,35.73,10/04/2021,10/27/2021,1.0,None,None,15,10/04/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Indica Dominant,Display,jSdAfjLk2n,None,Purple Punch,Green Fellas,35.73,None,Grams,Quarters,None,None,None
None,Zero Gravity Extracts,7.0,Flower - Prepackaged,None,12.46,10/07/2021,10/27/2021,1.0,None,None,1,10/07/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Indica Dominant,Display,G7vCTp4fq6,None,Ice Cream Cake - LD,Zero Gravity Extracts,12.46,None,Grams,Quarters,None,None,None
None,We Grow Beans,7.0,Flower - Prepackaged,None,37.73,10/19/2021,10/27/2021,1.0,None,None,1,10/20/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Indica Dominant,Display,AbseodStDJ,None,Candy Chrome,We Grow Beans,37.73,None,Grams,Quarters,None,None,None
None,We Grow Beans,7.0,Flower - Prepackaged,None,37.73,10/19/2021,10/27/2021,1.0,None,None,1,10/20/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Indica Dominant,Display,hBrteaHpFw,None,Wedding Pie,We Grow Beans,37.73,None,Grams,Quarters,None,None,None
None,Kine Folks,7.0,Flower - Prepackaged,None,34.0,08/12/2021,10/27/2021,1.0,None,None,12,10/14/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Hybrid,Display,t7PzBAZwXm,None,Lemon Tree,Kine Folks,34.0,None,Grams,Quarters,None,None,None
None,Glass Jar Company,7.0,Flower - Prepackaged,None,25.9,10/01/2021,10/27/2021,1.0,None,None,12,10/14/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Sativa,Display,JRz8avXyaD,None,Moonshine,Glass Jar Company LLC,25.9,None,Grams,Quarters,None,None,None
None,Zero Gravity,3.5,Flower - Prepackaged,None,20.3,10/08/2021,10/27/2021,1.0,None,None,40,10/14/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Hybrid,Display,ZEXPk6g2vf,None,Animal Mints,Zero Gravity Extracts,20.3,None,Grams,Eighths,None,None,None
None,We Grow Beans,7.0,Flower - Prepackaged,None,37.73,10/20/2021,10/27/2021,1.0,None,None,1,10/20/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Hybrid,Display,SqzXManjGG,None,Mimosa,We Grow Beans,37.73,None,Grams,Quarters,None,None,None
None,Prokron,7.0,Flower - Prepackaged,None,24.98,10/26/2021,10/27/2021,1.0,None,None,1,None,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Sativa Dominant,Display,Mt5p3YSmPz,None,Strawberry Apricot,Prokron,24.98,None,Grams,Quarters,None,None,None
None,Dr. Dabber,None,Accessory,None,199.99,02/15/2021,10/27/2021,1.0,None,None,10,05/18/2021,Maple Valley Pharms,None,329.99,None,Boost Evo Moon White,Vaporizer,Grow Facility,WxpEBFLTfs,None,None,Dr. Dabber,199.99,329.99,None,None,None,None,None
None,Dr. Dabber,None,Accessory,None,240.0,05/18/2021,10/27/2021,1.0,None,None,3,08/27/2021,Maple Valley Pharms,None,399.95,None,Switch Green Edition,Vaporizer,Grow Facility,Fm5ZghLEQW,None,None,Dr. Dabber,240.0,399.95,None,None,None,None,None
None,Best Friend Farms,1.0,Concentrate,None,15.0,07/09/2021,10/27/2021,1.0,255.0,07/09/2022,21,09/02/2021,Maple Valley Pharms,None,30.0,None,Route 26 1g Bubble Hash Ball,Hash,Grow Facility,4qbFswpzJi,None,None,Best Friend Farms,15.0,30.0,Each,None,None,None,None
None,Maple Valley Pharms,2.0,Concentrate,None,20.0,09/22/2021,10/27/2021,1.0,330.0,09/22/2022,5,09/23/2021,Maple Valley Pharms,None,50.0,None,Mimosa 2g Moon Rocks,2g Moon Rocks,Grow Facility,eZvKYuiggH,None,None,Maple Valley Pharms,20.0,50.0,Each,None,None,None,None
None,Maple Valley Pharms,2.5,Concentrate,None,30.0,09/22/2021,10/27/2021,1.0,330.0,09/22/2022,6,09/23/2021,Maple Valley Pharms,None,62.5,None,Mimosa 2.5g Moon Rocks,2.5g Moon Rocks,Grow Facility,7wqLQ4zwXJ,None,None,Maple Valley Pharms,30.0,62.5,Each,None,None,None,None
None,Maple Valley Pharms,1.5,Concentrate,None,1.0,09/22/2021,10/27/2021,1.0,330.0,09/22/2022,5,None,Maple Valley Pharms,None,37.5,None,Wedding Pie 1.5g Moon Rocks,1.5g Moon Rocks,Grow Facility,qLG9STkDz6,None,Wedding Pie,Maple Valley Pharms,1.0,37.5,Each,None,None,None,None
None,Maple Valley Pharms,2.5,Concentrate,None,1.0,09/22/2021,10/27/2021,1.0,330.0,09/22/2022,5,None,Maple Valley Pharms,None,62.5,None,Wedding Pie 2.5g Moon Rocks,2.5g Moon Rocks,Grow Facility,bLBgfZh6A9,None,Wedding Pie,Maple Valley Pharms,1.0,62.5,Each,None,None,None,None
None,Maple Valley Pharms,3.0,Concentrate,None,1.0,09/22/2021,10/27/2021,1.0,330.0,09/22/2022,4,None,Maple Valley Pharms,None,75.0,None,Purple Punch 3g Moon Rocks,3g Moon Rocks,Grow Facility,6pSfpAcrA5,None,Purple Punch,Maple Valley Pharms,1.0,75.0,Each,None,None,None,None
None,Maple Valley Pharms,None,Accessory,None,4.0,06/21/2021,10/27/2021,1.0,None,None,250,09/23/2021,Maple Valley Pharms,None,15.0,None,Vaporizer Stylus Battery with USB Charger,Battery,Return to Grow,nxzLcN8Nns,None,None,Maple Valley Pharms,4.0,15.0,None,None,None,None,None
None,We Grow Beans,1.0,Concentrate,None,7.5,09/17/2021,10/27/2021,1.0,324.0,09/16/2022,10,09/17/2021,Maple Valley Pharms,None,20.0,None,Wedding Pie 1g Kief,Kief,Return to Grow,5p35Aci9yv,None,None,We Grow Beans,7.5,20.0,Each,None,None,None,None
None,Dr. Dabber,None,Accessory,None,275.0,02/15/2021,10/27/2021,1.0,None,None,4,10/21/2021,Maple Valley Pharms,None,419.95,None,Switch Frostberry Limited Edition,Vaporizer,Sales Floor,QrcJuegjno,None,None,Dr. Dabber,275.0,419.95,None,None,None,None,None
None,Dr. Dabber,None,Accessory,None,240.0,05/18/2021,10/27/2021,1.0,None,None,3,10/21/2021,Maple Valley Pharms,None,399.95,None,Switch Green Edition,Vaporizer,Sales Floor,Fm5ZghLEQW,None,None,Dr. Dabber,240.0,399.95,None,None,None,None,None
None,Dr. Dabber,None,Accessory,None,25.0,02/15/2021,10/27/2021,1.0,None,None,5,10/21/2021,Maple Valley Pharms,None,49.95,None,Budder Cutter,Paraphernalia,Sales Floor,9F3JiFjF8L,None,None,Dr. Dabber,25.0,49.95,None,None,None,None,None
None,Warren\s Cannabis Creations,None,Edible,None,9.0,05/21/2021,10/27/2021,1.0,-159.0,05/21/2021,10,10/20/2021,Maple Valley Pharms,None,17.0,None,100mg Sugar Free Milk Chocolate Bar,Chocolate Bar,Sales Floor,frkf26tXsq,None,None,Edible Vendor,9.0,17.0,None,None,None,None,None
None,Refine,1.0,Concentrate,None,20.0,06/30/2021,10/27/2021,1.0,246.0,06/30/2022,28,10/20/2021,Maple Valley Pharms,None,50.0,None,Girl Scout Cookies Cartridge 1g,Cartridge,Sales Floor,qeYKRxMsuC,None,None,Refine,20.0,50.0,Each,None,None,None,None
None,Third Eye,1.0,Concentrate,None,16.0,07/08/2021,10/27/2021,1.0,254.0,07/08/2022,60,10/20/2021,Maple Valley Pharms,None,32.0,None,Alchemy 1g RSO,RSO,Sales Floor,XEFxjKGTeY,None,None,Third Eye,16.0,32.0,Each,None,None,None,None
None,Lodestar Cannabis,3.5,Flower - Prepackaged,None,20.0,07/30/2021,10/27/2021,1.0,None,None,128,10/20/2021,Maple Valley Pharms,None,None,Limited,None,Hybrid,Sales Floor,CD5yraGEGz,None,Peanut Butter Breath,Lodestar Cannabis,20.0,None,Grams,Eighths,None,None,None
None,Warren\s Cannabis Creations,None,Edible,None,6.0,09/10/2021,10/27/2021,1.0,318.0,09/10/2022,4,10/20/2021,Maple Valley Pharms,None,13.0,None,100mg Maple Bacon Chocolate Bar,Chocolate Bar,Sales Floor,bMscd3DH6L,None,None,Edible Vendor,6.0,13.0,None,None,None,None,None
None,Maple Valley Pharms,2.0,Concentrate,None,1.0,09/23/2021,10/27/2021,1.0,330.0,09/22/2022,5,10/20/2021,Maple Valley Pharms,None,50.0,None,Purple Punch 2g Moon Rocks,2g Moon Rocks,Sales Floor,bcodwstxMu,None,None,Maple Valley Pharms,1.0,50.0,Each,None,None,None,None
None,Maple Valley Pharms,1.5,Concentrate,None,15.0,09/23/2021,10/27/2021,1.0,330.0,09/22/2022,4,10/20/2021,Maple Valley Pharms,None,37.5,None,Mimosa 1.5g Moon Rocks,1.5g Moon Rocks,Sales Floor,3uz6H29K4G,None,None,Maple Valley Pharms,15.0,37.5,Each,None,None,None,None
None,Maple Valley Pharms,2.0,Concentrate,None,20.0,09/23/2021,10/27/2021,1.0,330.0,09/22/2022,5,10/20/2021,Maple Valley Pharms,None,50.0,None,Mimosa 2g Moon Rocks,2g Moon Rocks,Sales Floor,eZvKYuiggH,None,None,Maple Valley Pharms,20.0,50.0,Each,None,None,None,None
None,Zero Gravity Extracts,3.5,Flower - Prepackaged,None,13.26,09/20/2021,10/27/2021,1.0,None,None,40,10/20/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Hybrid,Sales Floor,5J2EqbdPKw,None,Sour Banana Larry - LD,Zero Gravity Extracts,13.26,None,Grams,Eighths,None,None,None
None,Northwoods Wellness,None,NonEdible,None,6.0,10/04/2021,10/27/2021,1.0,323.0,09/15/2022,100,10/21/2021,Maple Valley Pharms,None,12.0,None,Apple Fritter 1g Cone,Pre-Roll,Sales Floor,93eb94gK2i,None,None,Northwoods Wellness,6.0,12.0,None,None,None,None,None
None,Warren\s Cannabis Creations,1.0,Concentrate,None,22.0,10/01/2021,10/27/2021,1.0,339.0,10/01/2022,10,10/20/2021,Maple Valley Pharms,None,50.0,None,Grape Ape Cartridge 1g,Cartridge,Sales Floor,sF8DPTfXpc,None,Grape Ape,Warren\s Cannabis Creations,22.0,50.0,Each,None,None,None,None
None,Zero Gravity Extracts,None,Edible,None,14.58,10/06/2021,10/27/2021,1.0,329.0,09/21/2022,4,10/20/2021,Maple Valley Pharms,None,25.0,None,300mg Orange Moon Bobblehead Bar,300mg Chocolate Bar,Sales Floor,HCTenrp3a4,None,None,Edible Vendor,14.58,25.0,None,None,None,None,None
None,Kind Farms,None,Edible,None,12.0,09/24/2021,10/27/2021,1.0,329.0,09/21/2022,24,10/20/2021,Maple Valley Pharms,None,25.0,None,300mg KF Strawberries and Cream Chocolate Bar,300mg Chocolate Bar,Sales Floor,zduaNkTwNg,None,None,Edible Vendor,12.0,25.0,None,None,None,None,None
None,Warren\s Cannabis Creations,1.0,Concentrate,None,22.5,10/08/2021,10/27/2021,1.0,346.0,10/08/2022,10,10/20/2021,Maple Valley Pharms,None,50.0,None,Sour Apple Cartridge 1g,Cartridge,Sales Floor,bofnrryvNR,None,None,Warren\s Cannabis Creations,22.5,50.0,Each,None,None,None,None
