Batch ID,Brand,Calculated Weight (Grams),Category,Cost per Gram,Cost per Item,Created On,Current Date,Current Quantity,Days Until Expires,Expiration Date,Initial Quantity,Last Audit Date,Location,Package ID,Price,Price Profile,Product Name,Product Type,Room,SKU,Source License,Strain Name,Supplier Name,Total Cost,Total Price,Unit of Measure,Weight Unit,insert_datetime,img_url,product_description
None,Lodestar Cannabis,None,NonEdible,None,25.0,05/13/2021,11/13/2021,9.0,48.0,12/31/2021,20,11/09/2021,Maple Valley Pharms,None,50.0,None,1000mg Cedar and Bergamot Medicated Salve,Topical,Sales Floor,WdnmYegWDG,None,None,Lodestar Cannabis,225.0,450.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Refine,9.0,Concentrate,None,20.0,06/30/2021,11/13/2021,9.0,229.0,06/30/2022,28,11/06/2021,Maple Valley Pharms,None,50.0,None,Raspberry Cartridge 1g,Cartridge,Sales Floor,q23mwF2gik,None,None,Refine,180.0,450.0,Each,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,7.0,09/13/2021,11/13/2021,9.0,99.0,02/20/2022,30,11/06/2021,Maple Valley Pharms,None,22.5,None,250mg RSO Watermelon Berzerker,250mg Gummies,Sales Floor,GZMTtWrb26,None,None,Warren\s Cannabis Creations,63.0,202.5,2021-11-18 13:44:27.652893,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,4.58,09/16/2021,11/13/2021,9.0,138.0,03/31/2022,24,11/06/2021,Maple Valley Pharms,None,15.0,None,100mg RSO Snozzberry Gummies,Gummies,Sales Floor,pfKjDDnfXf,None,None,Edible Vendor,41.22,135.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,4.58,09/16/2021,11/13/2021,9.0,138.0,03/31/2022,24,11/06/2021,Maple Valley Pharms,None,15.0,None,100mg RSO Strawberry Ice Cream Gummies,Gummies,Sales Floor,HKb2mzoguT,None,None,Edible Vendor,41.22,135.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Best Friend Farms,31.5,Flower - Prepackaged,None,21.31,09/10/2021,11/13/2021,9.0,None,None,40,11/06/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Hybrid,Sales Floor,7fjM5qG6EB,None,Shart,Best Friend Farms,191.79,None,Grams,Eighths,None,None,None
None,Mighty Viking Gummies,None,Edible,None,4.58,10/06/2021,11/13/2021,9.0,158.0,04/20/2022,24,11/06/2021,Maple Valley Pharms,None,15.0,None,100mg Tropical Fruit Punch Gummies,Gummies,Sales Floor,qpuY8xiAje,None,None,Edible Vendor,41.22,135.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,10/06/2021,11/13/2021,9.0,158.0,04/20/2022,24,11/06/2021,Maple Valley Pharms,None,15.0,None,100mg Green Apple Gummies,Gummies,Sales Floor,SGahyaFRwM,None,None,Edible Vendor,33.75,135.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,6.0,09/29/2021,11/13/2021,9.0,138.0,03/31/2022,24,11/06/2021,Maple Valley Pharms,None,15.0,None,100mg RSO Key Lime Pie Gummies,Gummies,Sales Floor,pbZqAQkXEf,None,None,Edible Vendor,54.0,135.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Kind Farms,None,Edible,None,12.0,09/24/2021,11/13/2021,9.0,312.0,09/21/2022,24,11/06/2021,Maple Valley Pharms,None,25.0,None,300mg KF Rice Crispy Chocolate Bar,300mg Chocolate Bar,Sales Floor,w2ktF9fmB3,None,None,Edible Vendor,108.0,225.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,5.5,10/06/2021,11/13/2021,9.0,138.0,03/31/2022,24,11/06/2021,Maple Valley Pharms,None,15.0,None,100mg RSO Ecto Cooler Gummies,Gummies,Sales Floor,LNM6bfwp8L,None,None,Edible Vendor,49.5,135.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,10/06/2021,11/13/2021,9.0,158.0,04/20/2022,24,11/06/2021,Maple Valley Pharms,None,15.0,None,100mg Strawberry Ice Cream Gummies,Gummies,Sales Floor,W46HbG2qhn,None,None,Edible Vendor,33.75,135.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Lodestar Cannabis,31.5,Flower - Prepackaged,None,20.31,10/28/2021,11/13/2021,9.0,None,None,32,11/06/2021,Maple Valley Pharms,None,None,Limited,None,Hybrid,Sales Floor,y6f82ygGXQ,None,Peanut Butter Breath,Lodestar Cannabis,182.79,None,Grams,Eighths,None,None,None
None,Snowblind Cannabis,9.0,Concentrate,None,17.5,11/03/2021,11/13/2021,9.0,222.0,06/23/2022,12,11/06/2021,Maple Valley Pharms,None,35.0,None,Tri Fi 1g Wet Sugar,Sugar,Sales Floor,KpncRFiuYx,None,None,Snowblind Cannabis,157.5,315.0,Each,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,12.0,10/28/2021,11/13/2021,9.0,138.0,03/31/2022,20,11/06/2021,Maple Valley Pharms,None,32.99,None,300mg RSO Signature Combo Pack,300mg Gummies,Sales Floor,L8YrmgFP9J,None,None,Edible Vendor,108.0,296.91,2021-11-18 13:44:27.652893,None,None,None,None
None,Kind Farms,31.5,Flower - Prepackaged,None,19.53,11/08/2021,11/13/2021,9.0,None,None,50,11/08/2021,Maple Valley Pharms,None,None,Limited,None,Hybrid,Sales Floor,Ka5iMXx3vw,None,Chocolate Frosted MAC,Kind Farms,175.77,None,Grams,Eighths,None,None,None
None,Glass Jar Company,63.0,Flower - Prepackaged,None,17.08,11/05/2021,11/13/2021,9.0,None,None,12,11/07/2021,Maple Valley Pharms,None,None,Bronze-Tier Flower,None,Indica Dominant,Sales Floor,GaP8FAH2cd,None,Endless Sky,Glass Jar Company LLC,153.72,None,Grams,Quarters,None,None,None
None,Snowblind Cannabis,9.0,Concentrate,None,12.0,11/09/2021,11/13/2021,9.0,263.0,08/03/2022,12,11/09/2021,Maple Valley Pharms,None,35.0,None,Orange Velvet Underground 1g Badder,Badder,Sales Floor,SzZPfeJic6,None,None,Snowblind Cannabis,108.0,315.0,Each,None,None,None,None
None,Refine,9.0,Concentrate,None,19.0,11/12/2021,11/13/2021,9.0,354.0,11/02/2022,10,11/12/2021,Maple Valley Pharms,None,50.0,None,Melon Gum Cartridge 1g,Cartridge,Sales Floor,jrRmT9NZJx,None,None,Refine,171.0,450.0,Each,None,None,None,None
None,Refine,9.0,Concentrate,None,20.0,11/12/2021,11/13/2021,9.0,354.0,11/02/2022,10,11/12/2021,Maple Valley Pharms,None,50.0,None,REF Gorilla Glue #4 Cartridge 1g,Cartridge,Sales Floor,brb5zgnMqo,None,None,Refine,180.0,450.0,Each,None,None,None,None
None,Warren\s Cannabis Creations,0.01,Concentrate,None,22.0,11/12/2021,11/13/2021,9.0,364.0,11/12/2022,10,11/12/2021,Maple Valley Pharms,None,50.0,None,Green Crack Cartridge 1g,Cartridge,Sales Floor,kgjcz8ntxB,None,None,Warren\s Cannabis Creations,198.0,450.0,Each,None,None,None,None
None,Best Friend Farms,10.0,Concentrate,None,21.0,06/02/2021,11/13/2021,10.0,201.0,06/02/2022,28,08/27/2021,Maple Valley Pharms,None,40.0,None,Gas Masque 1g Bubble Hash Ball Select,Hash,Grow Facility,qYYc5uu2PC,None,None,Best Friend Farms,210.0,400.0,Each,None,None,None,None
None,Maple Valley Pharms,10.0,Concentrate,None,6.0,10/13/2021,11/13/2021,10.0,334.0,10/13/2022,10,None,Maple Valley Pharms,None,25.0,None,Candy Chrome 1g Moon Rocks,Moon Rocks,Grow Facility,7xGL9PiFsq,None,None,Maple Valley Pharms,60.0,250.0,Each,None,None,None,None
None,Maple Valley Pharms,15.0,Concentrate,None,9.0,10/13/2021,11/13/2021,10.0,334.0,10/13/2022,10,None,Maple Valley Pharms,None,37.5,None,Candy Chrome 1.5g Moon Rocks,1.5g Moon Rocks,Grow Facility,kFS2P5dTCL,None,None,Maple Valley Pharms,90.0,375.0,Each,None,None,None,None
None,Zero Gravity Extracts,None,NonEdible,None,6.0,10/25/2021,11/13/2021,10.0,346.0,10/25/2022,10,None,Maple Valley Pharms,None,12.0,None,Guava Tangie 1g Cone,Pre-Roll,Grow Facility,J7R4JE8HYX,None,None,Zero Gravity Extracts,60.0,120.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Zero Gravity,None,NonEdible,None,6.0,10/25/2021,11/13/2021,10.0,346.0,10/25/2022,10,None,Maple Valley Pharms,None,12.0,None,Animal Mints 1g Cone,Pre-Roll,Grow Facility,jK2rc2tKoq,None,None,Zero Gravity Extracts,60.0,120.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Best Friend Farms,10.0,Concentrate,None,21.0,10/29/2021,11/13/2021,10.0,350.0,10/29/2022,16,None,Maple Valley Pharms,None,40.0,None,Haskap 1g Bubble Hash Ball Select,Hash,Grow Facility,hBDvwBT7QL,None,None,Best Friend Farms,210.0,400.0,Each,None,None,None,None
None,Refine,5.0,Concentrate,None,11.0,11/02/2021,11/13/2021,10.0,354.0,11/02/2022,20,None,Maple Valley Pharms,None,25.0,None,Wedding Cake Cartridge .5g,.5g Cartridge,Grow Facility,WpYj8vCRXJ,None,None,Refine,110.0,250.0,Each,None,None,None,None
None,Refine,5.0,Concentrate,None,1.0,11/02/2021,11/13/2021,10.0,354.0,11/02/2022,20,None,Maple Valley Pharms,None,25.0,None,Runtz Cartridge .5g,.5g Cartridge,Grow Facility,EGtSRpghgB,None,None,Refine,10.0,250.0,Each,None,None,None,None
